Date,Open,High,Low,Close,Adj Close,Volume
05-07-2022,99,100.75,98.400002,98.650002,95.795097,842632
06-07-2022,98.699997,100.650002,98.699997,99.449997,96.571945,881943
07-07-2022,100.699997,105.75,100.699997,105.050003,102.009888,2794547
08-07-2022,105.900002,106.300003,103.949997,105.599998,102.543961,1170149
11-07-2022,104.199997,109.900002,104.199997,109.550003,106.379654,2240948
12-07-2022,108.900002,110.449997,108.199997,109.199997,106.03978,1531784
13-07-2022,109.25,110.5,108.150002,108.449997,105.311485,792900
14-07-2022,108.400002,108.400002,103.75,105.199997,102.15554,1880602
15-07-2022,106.400002,106.400002,103.349998,104.050003,101.038826,1261346
18-07-2022,105,108.300003,104.349998,108,104.874512,1176499
19-07-2022,107.900002,113,107.099998,112.650002,109.389938,2289555
20-07-2022,113.849998,114.449997,111.300003,112.050003,108.807304,1331047
21-07-2022,111.199997,114.25,111.199997,113.949997,110.652313,1173352
22-07-2022,114.900002,116.449997,113.699997,116.050003,112.691551,1620495
25-07-2022,115.099998,116.75,114.25,115.150002,111.817589,931017
26-07-2022,115.900002,116.900002,114.599998,116.550003,113.177078,1016710
27-07-2022,116.199997,118.699997,116.199997,118.199997,114.77932,1235806
28-07-2022,118.599998,119.849998,116.5,117.199997,113.808258,1435657
29-07-2022,118,119.699997,115.599998,116.25,112.885757,1583817
01-08-2022,118.050003,118.349998,113.349998,116.400002,113.031418,2082706
02-08-2022,116.300003,123.5,116,121.699997,118.178032,3682022
03-08-2022,121.699997,122.449997,119.199997,121.050003,117.546852,1055781
04-08-2022,120.699997,122.349998,116.150002,118.599998,115.167747,2346430
05-08-2022,118.75,120.5,117.599998,117.900002,114.488007,2099180
08-08-2022,117.599998,119.650002,116.449997,118.25,114.827881,1044370
10-08-2022,118,119.650002,117.699997,118.650002,115.216301,981590
11-08-2022,118.800003,124.300003,118.800003,123.199997,119.634621,2740176
12-08-2022,123.099998,124.099998,122.400002,123.150002,119.586075,1251670
16-08-2022,123.5,125.199997,121.050003,121.650002,118.129486,1602162
17-08-2022,122.599998,127,121.400002,126.599998,122.936226,2254485
18-08-2022,125.400002,126.949997,123.150002,123.900002,120.314369,1550587
19-08-2022,124,124.400002,119.550003,120.25,116.769997,1760217
22-08-2022,120.199997,120.199997,117.699997,118.25,114.827881,964171
23-08-2022,116.300003,123.900002,116.300003,123.449997,119.877388,1775822
24-08-2022,123,124.5,121.050003,123.599998,120.023048,1576016
25-08-2022,123.449997,128,123.449997,125.800003,122.159386,2613166
26-08-2022,126.5,129.550003,126.5,128.350006,124.63559,1432144
29-08-2022,122.5,126.900002,122.150002,126.349998,122.693466,1504422
30-08-2022,127.099998,131.25,127.099998,130.850006,127.06324,1784353
01-09-2022,129.949997,133.899994,129.5,133.449997,129.587997,1711235
02-09-2022,134.699997,134.699997,130.800003,131.100006,127.306007,912228
05-09-2022,131,134.800003,131,133.850006,129.976425,787835
06-09-2022,134.199997,135.550003,132.100006,133.350006,129.490891,1243256
07-09-2022,133.050003,134.649994,132.649994,134.199997,130.316284,605930
08-09-2022,135,139.850006,135,138.399994,134.39473,2034590
09-09-2022,139.399994,141.699997,137.649994,138,134.006317,1742543
12-09-2022,138.649994,139.949997,138.449997,138.850006,134.831726,744355
13-09-2022,139.899994,140,138.300003,138.649994,134.637497,651069
14-09-2022,135.300003,141.850006,135.25,140.399994,136.336853,1375737
15-09-2022,140.449997,141.699997,139,140.100006,136.045547,812784
16-09-2022,139.800003,141.050003,134.600006,137.25,133.27803,1561920
19-09-2022,136.5,143.399994,136.399994,140.949997,136.870941,1683529
